Functional Area,2024 Description,2025 Description,Application/Platform,Vendor,CapEx / OpEx,2024 Current Forecast,2025 Agreed Budget
IS R&D – Research & NonClinical Development (65170),,"Pharmacometrics simulation software Monolix and Simulx, 5 licenses",Monolix + Simulx,Lixoft,Op Ex,0.0,16666.0
IS R&D – Research & NonClinical Development (65170),,"Finch software, accompaniment interface to NONMEM. 6 licenses",Finch,Enhanced Pharmacodynamics,Op Ex,0.0,15000.0
IS Corporate - Finance (65180),MSP provider for the Oracle EPM solution,MSP provider for Oracle EPM solution,Oracle,Oracle America Inc,Op Ex,0.0,504000.0
ERP Project Harmony (66100),,MSP provider for PAPM system,SAP,"NTT America Solutions, Inc.",Op Ex,0.0,200004.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Regulatory Meeting Support,Regulatory Meeting Support,,Yorktel,Op Ex,0.0,153600.0
IS R&D – Data Sciences (65170),,Gaia DSE 2025 support,"SAS, POSIT",ZS Associates,Op Ex,0.0,270000.0
IS ED&EUS - Digital Workplace (65140),,Moveworks Subscription Licenses,,Moveworks,Op Ex,0.0,445000.0
IS ED&EUS - Service Management (65140),IS Portal - New Rocket Portal license and Service now portal,IS Portal - New Rocket Portal license and Service now portal,SaaS,New Rocket,Op Ex,0.0,0.0
IS InfoSec & EA - IAM (65190),,Sailpoint - Expert Services Hours for IdentityNow Engineering Review and Support,Sailpoint,Evotek,Op Ex,0.0,12000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),,Orchestry - Teams and SPO management system,Orchestry,Cloudway AS Services,Op Ex,0.0,118800.0
IS Infosec & EA - SGRC (65190),,Data Security Governance Phase 7,Data Security Governance Consultancy Support,RBW Consulting Ltd,Cap Ex,0.0,216000.0
IS InfoSec & EA - Eng & Ops (65190),,Enhance CrowdStrike response automation capability to ensure timely security containment,,,Op Ex,0.0,20000.0
IS InfoSec & EA - Eng & Ops (65190),,SaaS Security Configurational Monitoring Tool,,,Op Ex,0.0,200000.0
IS InfoSec & EA - Eng & Ops (65190),,Mandiant annual Pen-testing (red team) and TTE,,,Op Ex,0.0,250000.0
IS InfoSec & EA - Eng & Ops (65190),,Web Application Assessment and Vulnerability scanning (Qualys),,,Op Ex,0.0,30000.0
IS InfoSec & EA - Eng & Ops (65190),,Splunk lifecycle upgrade project,,,Op Ex,0.0,20000.0
IS InfoSec & EA - EA (65190),,On-Board LeanIX for 2 Areas with IS (R &D and TechOps),,,Op Ex,0.0,50000.0
IS InfoSec & EA - IAM (65190),,PAM - Leverage RAS and Server PAM features for improved server remote access,,,Op Ex,0.0,40000.0
IS Infosec & EA - SGRC (65190),,Data Security Governance Phase 7,,PriceWaterhouseCoopers Advisory Services LLC,Op Ex,0.0,500000.0
IS Infosec & EA - SGRC (65190),,Compliance - Maintenance of ISO27001 certification - Re-certification audit,,,Op Ex,0.0,80000.0
IS InfoSec & EA - Eng & Ops (65190),,On-Board Key Management System (Phase 2: Implementation),,,Op Ex,0.0,100000.0
IS InfoSec & EA - Eng & Ops (65190),,Vormetric - Encrypt SAP HANA,,,Op Ex,0.0,200000.0
IS Infosec & EA - SGRC (65190),,InfoSec TPRM - Continous Vendor Monitoring Capability Implementation,,,Op Ex,0.0,250000.0
IS InfoSec & EA - Eng & Ops (65190),,AWS Security Hub Exploration and Engineering,,,Op Ex,0.0,50000.0
IS Infosec & EA - SGRC (65190),,GRC Tool Phase 2 - Compliance Automation - GRC tool and Security tools integrations and Dashboards builds,,,Cap Ex,0.0,100000.0
IS Global Infrastructure – Network (65150),,"Network Infrastructure refresh 2025. (Athlone access switches, KSP core switches, KSP cabling, Florence, Mississauga, Lyons)",,,Cap Ex,0.0,600000.0
IS R&D – Global Clinical Development Operations (65170),Spotfire Clinical Licenses for ZW Studies.,Spotfire,Spotfire,Revvity,Op Ex,0.0,30000.0
IS InfoSec & EA - Eng & Ops (65190),G-suite for Infosec Major Incident communication channel,,,,Op Ex,600.0,2600.0
IS Global Infrastructure – Network (65150),Application Monitoring Solution,Solution to provide the ability for Applications to be proactively monitored to prevent degradations and outages,TBD,TBD,Cap Ex,0.0,150000.0
IS Global Infrastructure – Network (65150),Application Monitoring Solution,Solution to provide the ability for Applications to be proactively monitored to prevent degradations and outages,TBD,TBD,Op Ex,0.0,250000.0
IS InfoSec & EA - Eng & Ops (65190),Qualys Guard (Web application license expansion),,Qualys Inc,Qualys Inc,Op Ex,50000.0,0.0
IS InfoSec & EA - IIEA - Portfolio Management (65190),,PRJ01134 - London New Office,Project Management,Davies,Cap Ex,0.0,126000.0
IS InfoSec & EA - IIEA - Portfolio Management (65190),,PRJ02006 - GRC Tool Phase 2 - Compliance Automation - GRC tool and Security tools integrations and Dashboards builds,Project Management,Davies,Cap Ex,0.0,63000.0
IS InfoSec & EA - IIEA - Portfolio Management (65190),,PRJ02008 - InfoSec TPRM - Continous Vendor Monitoring Capability Implementation,Project Management,Davies,Cap Ex,0.0,63000.0
IS R&D – Research & NonClinical Development (65170),,"Libra Software for Tox, 2 licenses",Libra - Drug Induced Liver Injury Libra & QSAR,Certara USA Inc,Op Ex,0.0,21500.0
IS ED&EUS - End User Services (65140),,Grammarly Enterprise Licenses (AI writing assistant),,Grammarly,Op Ex,0.0,
IS ED&EUS - End User Services (65140),,Language Translation AI (DeepL or TransPerfect),,,Op Ex,0.0,
IS ED&EUS - End User Services (65140),,Synthesia,,Synthesia,Op Ex,0.0,
IS Commercial - Omnichannel (65160),-,Medpro Website NPI lookup,Medpro,MedPro,Op Ex,0.0,
IS R&D – Research & NonClinical Development (65170),Mathworks MATLAB License - 4 licenses,Mathworks MATLAB License - 4 licenses,MATLAB,Mathworks,Op Ex,0.0,
